emp_id|full name|fname|lname|birth_date|dept_name|country|monthly_salary|sex|job title|employee_status|education
100039|Maha Khan|Maha|Khan|05/08/1994|Sales|philippines|13419.75| f |Marketing Analyst|Active|PHD
100040| Hassan  Martinez |Hassan|Martinez|02-28-1976| Supply Chain |jordan|37911.5|Female|Sales Executive|probation|BA
100041|David Mahmoud|David|Mahmoud|30-Apr-1985| IT |india|EGP 8,871.00|FEMALE|Business Analyst|On Leave|PhD
100042|James Johnson|James|Johnson|01/03/1985|IT| Qatar |17894.25|2|Business Analyst| Contractor |Doctorate
100043|DINA BROWN|Dina|Brown|05/01/1979|H.R.|Philippines|26738.5|F|Business Analyst|Leave| Diploma 
100044|Youssef Al-Salem|Youssef|Al-Salem|1987-08-11|Prod|PAK|EGP 31,113.00|female|IT Support| Probation | Bachelor 
100045|Aisha Brown|Aisha|Brown|1977/11/06|Sales Dept|United States of America|25652.25|Female|Business Analyst|probation|BSc
100046|Mahmoud, Tamer|Tamer|Mahmoud|05-31-1998| Accounting |SA|8699|male|Marketing Analyst|Leave|Diploma
100047|Nour Patel|Nour|Patel|30-Oct-1970| Supply Chain | Philippines |N/A|Female|Project Manager|PROB|BA
100048|Karim Al-Mansoori|KARIM|Al-Mansoori|1973-02-17|Manufacturing|pakistan|40396|female|Accountant| Terminated |Dipl.
100049|Hassan Ibrahim|Hassan|Ibrahim|06-25-2000| production |Britain|23735.25|M|Marketing Analyst||HS
100050|Aya Al-Salem|Aya|Al-Salem|1977/09/25|Operation|JOR|27470.5|female|Supply Chain Coordinator| Active |High School
EMP100051|Sophia Adel|Sophia|Adel|1999-11-16|I.T.|JO|$22,412.25|2|HR Specialist|on leave|diploma
100052|Farah Johnson|Farah|Johnson|1990-03-16|EHS|United Arab Emirates|44742.75|MALE|Marketing Analyst|On Leave|Dipl.
100053|Mohamed Hassan|Mohamed|Hassan|01-17-1988|I.T.|Jordan|QAR 44,470.00| m |Project Manager|On Leave|BSc
100054|Karim Taylor|Karim|Taylor|04-24-1969|human resources|UAE||FEMALE|Environmental Engineer|probation|bachelor
100055|Nour Al-Salem|Nour|Al-Salem|20-May-1965|env.| Qatar |40992|1|Sales Executive|ON_LEAVE|HS
100056|Aya Moore|Aya|Moore|09/12/1972|ENV|JO|18217.00|female|Project Manager|Terminated|bachelor
100057|Maha Garcia|Maha|Garcia|1975-08-13|Fin.|egypt|-17009.75|FEMALE|HR Specialist|probation|PHD
100058|Omar Al-Kuwari|Omar|Al-Kuwari|| Accounting |IN|-13905|FEMALE|Marketing Analyst|active|diploma
100059|Mariam Martinez|Mariam|Martinez|04-12-1981|Logistics|India|$34,862.25|Male|Project Manager|New Hire|Master
EMP100060|Noora Al-Harbi|Noora|Al-Harbi|1980/03/17|Human Resources| usa |32035.5|female|Business Analyst|Terminated| Bachelor 
100061|Aya Brown|Aya|Brown|20-Mar-1988|mktg|United States of America|16142|1|HR Specialist|probation|master
100062|Hamad Johnson|Hamad|Johnson|10/12/1998|mktg|JOR|QAR 29,761.75|F|Safety Officer|CONT|Secondary
100063|John Farouk|John|Farouk|1995-09-21|ENV|Emirates|$36,016.25|F|Data Engineer|active|master
100064| Fatima  Ibrahim |Fatima|Ibrahim|1976/08/31|Logistics|Egypt|17723.25| m |Sales Executive||BSc
100065|Faisal Moore|Faisal|Moore|03-Mar-1968| Marketing |PH|QAR 16,661.25|2|Project Manager|Active|BA
100066| James  Al-Kuwari |James|Al-Kuwari|1980/06/27|FIN| Jordan |44166.75|F|Project Manager|active|Dipl.
100067|Aya Johnson|Aya|Johnson|10-26-1972|MKT|United Arab Emirates|4293.25|2|Data Engineer| Probation |master
100068|Ali Moore|Ali|Moore|07/04/1965| Supply Chain | Philippines |12259.5| m |Supply Chain Coordinator|New Hire|high school
EMP100069|Michael Al-Thani|Michael|Al-Thani|1983-12-19|OPS|Philippines|44148.75|Male|Accountant|ACT|bachelor
100070|James Brown|James|Brown|1984/04/01|Logistics|US|$35,856.25| f |Marketing Analyst|New Hire| Diploma 
100071|Karim Al-Kuwari|Karim|Al-Kuwari|1977/08/25|ops|GB|34286.5|MALE|HR Specialist|active|Master
100072|Tamer Martinez|Tamer|Martinez|1984/05/09|Sales Dept| Jordan |3747|female|Business Analyst|PROB| Master 
100073|Ali Al-Farsi|Ali|Al-Farsi|1976-05-16|Environmental| Jordan |30429.25|MALE|Data Engineer|CONT|master
100074|Al-Harbi, Maha|Maha|Al-Harbi|1991/06/16|Safety|india|22594.75|F|Safety Officer|ON_LEAVE| Master 
100075|Farah Al-Farsi|Farah|Al-Farsi|1975/01/16|OPS|JO|5,296|Female|Accountant|Active| Bachelor 
100076|EMILY MAHMOUD|Emily|Mahmoud|01-23-1972|Manufacturing|QAT|40816.75|1|HR Specialist| Terminated |Doctorate
|Ali Martinez|Ali|Martinez|05-Jun-1978|HSE|GB|15674.25|M|Supply Chain Coordinator| Terminated | Master 
100078|Khalid Al-Mansoori|Khalid|Al-Mansoori|21/07/1990|sales|AE|11307|male|IT Support|Inactive|master
100079|Omar Al-Harbi|Omar|Al-Harbi|22-May-1987|Production|qatar|31,410|female|Project Manager|contractor| Bachelor 
100080|NOORA PATEL|Noora|Patel|1971-12-24|Marketing| Pakistan |17635.5|FEMALE|Safety Officer|on leave|HS
100081|Martinez, Tamer|Tamer|Martinez|1986/05/05| safety |JOR|35,545|M|Business Analyst|Contractor| Bachelor 
100082|Faisal Al-Mansoori|Faisal|Al-Mansoori|1976/02/26|IT|PAK|25485|Male|Data Engineer|Active|High School
100083|Laila Ibrahim|Laila|Ibrahim|08/12/1975|HR| Egypt |QAR 10,368.75|F|Safety Officer| On Leave |phd
100084|Aisha Smith|Aisha|Smith||Finance| UAE |37905.25|Female|Supply Chain Coordinator| Probation |HS
100085|John Nasser|John|Nasser|1992/11/13| Environmental | Jordan |41,756||Production Operator|contractor|BSc
100086|AISHA MILLER|Aisha|Miller|1987-09-30| IT |India|| m |Project Manager|active|bachelor
100087|Robert Jones|Robert|Jones|1965-03-12|Health & Safety|JOR|14848.75| f |Safety Officer| Active |Master
100088|Sara Moore-Al-Farsi|Sara|Moore|01-01-1999|mktg|PK|28864.75|FEMALE|Sales Executive| Terminated | Diploma 
100089|Farah Taylor|Farah|Taylor|26-Aug-2000|HR|KSA|44595.75|2|Production Operator| Terminated |Bachelor
100090|Hassan Johnson|Hassan|Johnson|11-20-1981|ENV|PHL|3879|FEMALE|Production Operator|Inactive|HS
100091|Smith, Khalid|Khalid|Smith|1999-04-21|Environment|Pakistan|41432.5|1|Production Operator|Contractor|Master
100092|Sara Al-Kuwari|Sara|Al-Kuwari|12-Dec-1983|Operations| Philippines |31571.75|female|Sales Executive|Probation|MSc
100093|Hassan, Mostafa|Mostafa|Hassan|1974-08-24| Commercial |egypt|EGP 25,295.75|female|Project Manager|Probation|BA
100094|Mahmoud Patel|Mahmoud|Patel|05-04-1981|H.R.|United States|17075.5|MALE|Marketing Analyst| Active | Master 
100095| Olivia  Martinez |Olivia|Martinez|1994/11/16|Environmental|UAE|9,992|M|Data Engineer|probation| Bachelor 
100096|Wilson, Robert|Robert|Wilson||HR|jordan|40064|Male|Sales Executive| Probation |Bachelor
100097|Sara Nasser|Sara|Nasser|1970/10/02|I.T.|pakistan|20732.50|MALE|Sales Executive|CONT|BSc
100098|Fatima Smith|Fatima|Smith|26/05/1969| Supply Chain |KSA|19873.25|male|Environmental Engineer|probation|phd
EMP100099|Ibrahim, Hamad|Hamad|Ibrahim|1971-10-15|Finance| Qatar ||male|Supply Chain Coordinator|TERM| High School 
100100|Noora Al-Mansoori|Noora|Al-Mansoori|1979/08/01|Production|pakistan|39802.25| m |Production Operator|ACT|BSc
100101|DAVID BROWN|David|Brown|29/03/1985|PROD|United States|14681|female|Business Analyst| Contractor |BA
100102|Ahmed Hassan|Ahmed|Hassan|16/04/1967|Health & Safety|India|15,590|female|Production Operator|PROB|Secondary
100103|Karim Wilson|Karim|Wilson|30-May-1985|human resources|pakistan|14666|2|Production Operator| Terminated | High School 
100104|Aisha Al-Harbi|Aisha|Al-Harbi|06/12/1977|SALES|egypt|QAR 32,398.50|male|Data Engineer|External|bachelor
100105|Sara Nasser|Sara|Nasser|06/12/1974|Health & Safety|saudi arabia|$21,248.75|Male|Project Manager|Active|High School
100106|Youssef Mostafa|Youssef|Mostafa|1969-09-13| HR |PHL|$8,221.50|M|Accountant|On Leave| Diploma 
100107| Hassan  Garcia |Hassan|garcia|05/04/1991|OPS|JO|$8,334.50| m |Supply Chain Coordinator|probation|MBA
100108|John Adel|John|Adel|30-Apr-1993|Health & Safety|USA|$26,062.00|M|Environmental Engineer|Leave|DIP
100109|Mohamed Taylor|Mohamed|Taylor|08/10/1982| HR |JOR|36443.5|Male|HR Specialist|terminated|Bachelor
100110|Mostafa Jones|Mostafa|Jones|01-10-1998|FIN| Jordan |31,176|FEMALE|Marketing Analyst|Active|PhD
100111|Tamer Ali|Tamer|Ali|10-16-1973|finance|philippines|13,506|FEMALE|Accountant| Active |High School
100112|Sara Williams|Sara|Williams|13-Jul-1998| Commercial |UAE|QAR 34,684.50| f |IT Support|PROB|PhD
100113|Omar Al-Thani|Omar|Al-Thani|1996/12/29|supply-chain|Jordan|40440.00|F|Safety Officer|terminated|High School
100114|Mohamed Jones|Mohamed|Jones|16-Nov-1972|Environmental|EG|EGP 9,836.00| m |Sales Executive|terminated|Secondary
100115|Sophia Wilson|Sophia|Wilson|02-19-2002|human resources|United Kingdom|34368.75| m |Data Engineer| Terminated | High School 
100116|Emily Patel|Emily|Patel|19-Jul-1971|Information Technology|Emirates|21571.25|M|Sales Executive|TERM|Doctorate
100117|Hassan Smith|Hassan|Smith|1988/11/02| IT |PAK|44479.75| f |Business Analyst|On Leave|Dipl.
100118|Aisha Smith|Aisha|Smith|01-Jul-1967|Sales Dept|Pakistan|31275.50|Female|Accountant| On Leave |BA
100119|David Jones|David|Jones|1996-03-02|env.|AE|N/A|1|Accountant| Contractor |PhD
100120|Reem Al-Mansoori|Reem|Al-Mansoori|04/04/1982|SALES|SA|23013.5|F|Safety Officer|Active|high school
100121|James Davis|James|Davis|10-02-1973|H.R.|jordan|EGP 13,901.75| m |IT Support| On Leave |MBA
100122|EMMA AL-FARSI|Emma|Al-Farsi|1966-11-25|it|PK|5769|Female|IT Support|Inactive|MSc
100123|Garcia, James|James|Garcia|12/03/1992|FIN| Jordan |28782.25| f |Project Manager|TERM|master
100124|Ahmed Jones|Ahmed|Jones|2003/11/29|Prod| uk |14536.75|Female|Production Operator| Contractor |HS
100125|Al-Kuwari, Aya|Aya|Al-Kuwari|09-28-1967|Production|IND|$35,663.75|F|HR Specialist|Level 2|CONT|MBA
100126|Laila Patel|LAILA|Patel|2003/10/30|Marketing|SA|19487.25|1|Business Analyst|External|bachelor
100127|Olivia Moore|Olivia|Moore|1999-02-12|human resources|EG|29728.5|Male|Business Analyst|Terminated|phd
100128|Aisha Miller|Aisha|Miller|1973/10/13|Sales|Pakistan|24,364|1|Business Analyst|on leave|DIP
100129|Williams, Faisal|Faisal|Williams|02-11-1995|env.|JOR|N/A|FEMALE|Production Operator|PROB|MSc
100130| Olivia  Ali |Olivia|Ali|1990/04/09|Safety| usa |20,730|2|Safety Officer|A|diploma
100131|Olivia Mostafa|Olivia|Mostafa|1979/05/28|finance|GB|20557.25|M|Sales Executive|Probation| PhD 
100132|Reem Martinez|Reem|Martinez|09/06/1985| production |saudi arabia|18965.5|Male|HR Specialist|Terminated|Doctorate
100133|Emma Williams|Emma|Williams|1976/04/11|OPS|PHL|29352.5|Male|Project Manager|Leave|High School
100134|Olivia Mostafa|Olivia|Mostafa|1983-10-19|Production|Emirates|EGP 31,992.00| f |Data Engineer|active|Bachelor
100135|Faisal Mostafa|Faisal|Mostafa|25-Jul-1992|H.R.|PAK|13,269|MALE|Environmental Engineer|contractor|high school
100136|Layla Ali|Layla|Ali|1977-03-02|ops|IND|EGP 44,276.00|F|Supply Chain Coordinator|External|Master
100137|Mona Garcia|Mona|Garcia|unknown|Logistics| Saudi |44183| f |Accountant|on leave|BA
100138|Aisha Kamal|Aisha|Kamal|21/03/1979|MKT| Qatar |17857.75|Male|Production Operator|CONT|Master
100139|Mahmoud Al-Harbi|MAHMOUD|Al-Harbi|09-Sep-1982|supply-chain|PH|31281.75|FEMALE|Marketing Analyst|On Leave|diploma
100140|Mostafa Farouk|Mostafa|Farouk|03-15-1987|Manufacturing|US|15789.75|male|Environmental Engineer|CONT|Diploma
100141|Sara Ali|Sara|Ali|31/02/1988|H.R.|United Kingdom|EGP 7,307.25|Male|Accountant|contractor| Master 
100142|Ali Patel|Ali|Patel|17/01/1989| Supply Chain |jordan|33880.25|FEMALE|Sales Executive|Terminated|bachelor
100143|Layla Ibrahim|Layla|Ibrahim|04-07-1994|Marketing|IND||M|HR Specialist| Terminated | PhD 
100144| James  Johnson |James|Johnson|1997/01/29|Sales Dept|KSA|42326.75|Male|Project Manager|CONT| High School 
100145|Ava Miller|Ava|Miller|1980-01-19|it|jordan|19,750|Male|Production Operator|Terminated|BSc
100146|David Mostafa|David|Mostafa|27-Aug-2000| Marketing |JOR|9656|1|Data Engineer|Probation|High School
100147| Mahmoud  Al-Harbi |Mahmoud|Al-Harbi|01/12/1989|Sales|Qatar|13039.25|2|Safety Officer|New Hire| Master 
EMP100148|Emma Miller|Emma|Miller|04-16-1967|MKT|Qatar|15943|M|Production Operator|active|Diploma
100149|Emma Davis|Emma|Davis|1976-05-02|Information Technology| Qatar |31457.75|Male|IT Support| Terminated |BSc
100149|Karim Al-Farsi|Karim|Al-Farsi|1993/10/21|Finance| India |34953.75|MALE|IT Support|On Leave|master
100151|Maha Taylor|Maha|Taylor|01-Oct-1987| production |Saudi Arabia|27363.75| m |IT Support|On Leave|Bachelor
100152|Sara Johnson|Sara|Johnson|1981-05-14| safety |UAE|44307|female|Production Operator|TERM|DIP
100153|Michael Farouk|Michael|Farouk|1967/04/29|EHS|PH|21874.5|1|Accountant|New Hire|Doctorate
100154|Farah Williams|Farah|Williams|19/09/1970|Operations| usa |10611.75|1|HR Specialist|Inactive|Doctorate
100155|Aisha Al-Thani|Aisha|Al-Thani|25/05/1992| safety |India|29020.5|Male|Supply Chain Coordinator|contractor| Diploma 
100156|Layla Williams|Layla|Williams|20/01/1990|SCM|United States of America|$35,296.75|Female|Sales Executive|terminated|PhD
100157|Maha Mahmoud|Maha|Mahmoud|1971-08-20|human resources|AE|31436.25|1|HR Specialist|PROB|DIP
100158|Reem Al-Thani|Reem|Al-Thani|03-03-1993|sales|US|EGP 26,108.00|Female|IT Support| Contractor | Bachelor 
100159|Reem Miller|Reem|Miller|1994-12-03| Accounting | Pakistan |7738.25|MALE|IT Support|A|BA
100160|Emily Ali|Emily|Ali|1985/10/08|Logistics|Pakistan||FEMALE|Sales Executive|active|BSc
100161|MONA AL-SALEM|Mona|Al-Salem|08-13-1985|ENV|AE|QAR 32,739.50|FEMALE|Data Engineer|active|Diploma
100162|Ava Al-Kuwari|Ava|Al-Kuwari|08/03/1969|it|jordan|36633.25|female|IT Support|contractor|MSc
100163|Ali, Mona|Mona|Ali|1983/12/03| safety |Emirates|15,120| f |Supply Chain Coordinator|contractor|PhD
100164|Miller, Hassan|Hassan|Miller|1976-07-13|FIN|IND|40011.25|M|Marketing Analyst|External|high school
100165|John Mahmoud|John|Mahmoud|2002-08-25|Information Technology| Jordan |18342.75|F|Data Engineer|External|Doctorate
100166|Layla Garcia|Layla|Garcia|31/02/1988| safety |Emirates|30334.25| f |Sales Executive|ACT|Bachelor
100167|Sara Hassan|Sara|Hassan|17-Feb-1992|Logistics|United States|19079.50|2|HR Specialist|CONT|High School
100168|Omar Al-Salem|Omar|Al-Salem|1970-06-01|SCM|SA|5033.75| m |Production Operator|CONT|PHD
100169|Reem Williams|Reem|Williams|05-29-1979| Commercial |IND|12625.5|Male|Marketing Analyst|Active|high school
100170|Mohamed Ibrahim|Mohamed|Ibrahim|06-18-1982|Sales Dept|pakistan|8,548|M|Sales Executive|On Leave|Diploma
100171|Maha Davis|Maha|Davis|17-Aug-1974| Environmental |SA|QAR 31,528.00|male|Sales Executive|Probation| PhD 
100172|Fatima Brown|Fatima|Brown|1982-10-30|Environmental|jordan|QAR 28,200.50|F|Project Manager| Active |BSc
100173|James Al-Salem|James|Al-Salem|03-22-1988|supply-chain|IN|12714.5| m |Data Engineer| Contractor |High School
100174|Michael Patel|Michael|Patel|1983-04-13|OPS|QA|23372.75|Male|Safety Officer| Probation | Master 
100175|Al-Mansoori, David|David|Al-Mansoori|1974-08-13|H.R.|JOR|QAR 32,238.50|Female|Business Analyst|terminated|bachelor
100176|Reem Wilson|Reem|Wilson|2001/09/21|ENV|GB|$4,084.00|FEMALE|Production Operator|ACT|diploma
100177|Aya Ibrahim|Aya|Ibrahim|1977/02/12|Production|egypt|41034|M|Safety Officer|A|Doctorate
100178|Nour Davis|Nour|Davis|01-25-1979|Fin.|egypt|22832|1|HR Specialist|Active|Bachelor
100179|Saad Khan|Saad|Khan|1992/02/23|human resources|egypt|21065|2|Accountant|PROB|high school
100180|Hamad Farouk|Hamad|Farouk||env.|Egypt|30,038|1|Supply Chain Coordinator|active|Bachelor
100181|Omar Davis|Omar|Davis|10-23-1993|HSE|Britain|18449.5|female|Project Manager|Active| Diploma 
100182|Mohamed Mahmoud|Mohamed|Mahmoud|16/10/1985| Marketing |EGY|6,321|FEMALE|Safety Officer|New Hire|diploma
100183|Karim Al-Harbi|Karim|Al-Harbi|01/12/1980|Safety|JOR|QAR 15,178.25|2|Safety Officer|A|Dipl.
100184|Sara Saeed|Sara|Saeed|| IT |USA|QAR 25,210.25|female|IT Support|External|Doctorate
100185|Ahmed Al-Harbi|Ahmed|Al-Harbi|10-18-1996| safety |qatar|QAR 27,954.00|2|HR Specialist|ACT|PhD
100186|Aisha Farouk|Aisha|Farouk||Manufacturing| usa |24366.5|Male|Supply Chain Coordinator|External|Diploma
100187|Mostafa Miller|Mostafa|Miller|13/01/1973|Supply Chain|Saudi Arabia|19013.25|F|Supply Chain Coordinator| Contractor |Bachelor
100188|Faisal Moore|Faisal|Moore|1989-02-05|Prod|india|19,902|Male|Data Engineer|Probation|PHD
100189|Mariam Garcia|Mariam|Garcia|1970-05-13| Environmental |QAT|25777.75|male|Supply Chain Coordinator|New Hire|Master
100190|Abdullah Taylor|Abdullah|Taylor|04/11/1970| Operations |Egypt|22119.25|FEMALE|Sales Executive|On Leave|Doctorate
100191|Ali Johnson|Ali|Johnson|1972/09/28|SCM|philippines|18537.25|Female|Marketing Analyst|ACT| Master 
100192|Saad Patel|Saad|Patel|05/10/2001|Production|EGY|17103.25|1|Project Manager|On Leave|diploma
100193|Ahmed Farouk|Ahmed|Farouk|1980/08/04|HR| UAE |39580.75|FEMALE|Project Manager| Contractor | Bachelor 
100194|Karim Nasser|Karim|Nasser|26/07/1970|H.R.|India|14114.75|2|Data Engineer|TERM|phd
100195|Aya Garcia|Aya|Garcia|2000-02-08|OPS|PAK|QAR 21,503.25|male|Business Analyst|External| Diploma 
100196|Mahmoud Wilson|Mahmoud|Wilson|10/05/1994| Commercial |Qatar|5,604|M|IT Support|A|BSc
100197|Al-Mansoori, Fatima|Fatima|Al-Mansoori|06-21-1999|IT|Egypt|25,386|M|Environmental Engineer||Master
100198|Khalid Kamal|Khalid|Kamal|01-Aug-1971|Logistics|USA|36782.5|M|Safety Officer|terminated|High School
100199|Johnson, Sara|Sara|Johnson|1967/07/13|H.R.|Philippines|13899.50| f |Marketing Analyst|Terminated|Doctorate
100200|Emily Saeed|Emily|Saeed|18/10/1978|Information Technology| Egypt |QAR 12,156.25|Unknown|Accountant|New Hire|MBA
100201|James Jones|James|Jones|1970-10-27| Operations |PAK|7759.75|F|Marketing Analyst| Probation | High School 
100202|Laila Williams|Laila|Williams|1984/04/21|finance|KSA|27996.25|M|Sales Executive|ACT|BSc
100203|Ava Nasser|Ava|Nasser|1993-10-03|Sales Dept| Qatar |7174.25|1|Supply Chain Coordinator|ACT|Master
100204|Emily Patel|Emily|Patel|10-26-1999|Operations| Saudi |16360.75|MALE|Marketing Analyst| On Leave |BSc
100205|Michael Mahmoud|Michael|Mahmoud|12-12-1968|FIN|IN|EGP 39,728.75|F|Production Operator|Active|high school
100206|Heba Ali|Heba|ali|1981-03-09|marketting|US|17501.50|1|Data Engineer|contractor|high school
100207|Heba Patel|Heba|Patel|1966-01-06|Environment|JOR|31057.25|female|Marketing Analyst|On Leave|High School
100208|Abdullah Ali|Abdullah|Ali|05-01-1979|I.T.|Saudi Arabia|10768| m |HR Specialist| Terminated | Bachelor 
100209|Khalid Mostafa|Khalid|Mostafa|1965-09-19|HSE|United States|$31,890.50|male|Supply Chain Coordinator|Inactive|HS
100210|SARA HASSAN|Sara|Hassan|29-Jul-1990|Finance|UAE|4016.5|female|Marketing Analyst| Probation | Diploma 
100211|FATIMA HASSAN|Fatima|Hassan|02/12/1974|Prod|qatar|43935|F|Data Engineer|Contractor|DIP
100212|EMMA MARTINEZ|Emma|Martinez|06-Jan-1999|Operation|JO|22696.5|1|Business Analyst|CONT|master
100213|Sophia Mostafa|Sophia|Mostafa|1985-04-22|Environment| Philippines |27166.25|FEMALE|Production Operator|contractor| High School 
100214|Emily Mahmoud|Emily|Mahmoud|06/01/1979|PROD|QAT|4,798|female|Environmental Engineer|TERM|Doctorate
100215|Hassan Al-Farsi|Hassan|Al-Farsi|21-Apr-1987|finance|PAK|30997| m |Accountant|Terminated|Master
100216|Fatima Ali|Fatima|Ali|04-12-1986|Fin.|Jordan|22860.25|M|IT Support|Contractor|BA
100217|Aisha Smith|AISHA|Smith|07-18-1999|ops|india|26,221|1|Project Manager|A|BA
100218|Mostafa Saeed|Mostafa|Saeed|1990-11-17|HSE|KSA|33074.75|Female|Business Analyst|On Leave|MBA
100219|Michael Al-Farsi|Michael|Al-Farsi|03/10/1983|Marketing|KSA|13193| m |Safety Officer|External|High School
100220|Dina Al-Farsi|Dina|Al-Farsi|03-15-1965| Marketing |SA|32,242|N/A|Project Manager|On Leave| Bachelor 
100221|Farah Al-Mansoori|Farah|Al-Mansoori|1985-10-28|Environmental|QA|14032.25|F|Accountant| Probation | Master 
100222|James Wilson|James|Wilson|09/03/1999| Accounting |Emirates|4966.25|1|Environmental Engineer|active| Diploma 
100223|Faisal Saeed|Faisal|Saeed|1999-02-23|Supply Chain| usa |$36,248.75| m |Safety Officer| Terminated | Bachelor 
100224|James Garcia|James|Garcia|1975-08-08|Environmental|EG|7529.75|female|Supply Chain Coordinator|CONT|Doctorate
EMP100225|Youssef Ali|Youssef|Ali|11-29-1969|ops| Jordan |22846.75|MALE|Project Manager|External| High School 
100226|James Al-Salem|James|Al-Salem|04-May-1968|human resources|PHL|$32,839.25|2|Marketing Analyst| On Leave |Master
100227|Noora Ali|Noora|Ali|1993-08-14|sales|PH|14923.75| m |Production Operator|on leave| Diploma 
100228|Taylor, Abdullah|Abdullah|Taylor|23-Aug-1969|Operations|AE|4,166|F|Sales Executive| Terminated |Diploma
